datetime,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
2025-02-25 09:31:00,8.98,8.99,9.03,8.94,776200.0,6966847.0,2025,2,25,9,31,2025-02-25 09:31,776200.0
2025-02-25 09:32:00,8.97,8.97,8.98,8.96,218500.0,1959647.0,2025,2,25,9,32,2025-02-25 09:32,218500.0
2025-02-25 09:33:00,8.96,8.97,8.98,8.93,559300.0,5011240.0,2025,2,25,9,33,2025-02-25 09:33,559300.0
2025-02-25 09:34:00,8.98,8.96,8.98,8.95,134900.0,1209170.0,2025,2,25,9,34,2025-02-25 09:34,134900.0
2025-02-25 09:35:00,8.95,8.95,8.97,8.95,229300.0,2053924.0,2025,2,25,9,35,2025-02-25 09:35,229300.0
2025-02-25 09:36:00,8.96,8.95,8.96,8.94,331000.0,2962168.0,2025,2,25,9,36,2025-02-25 09:36,331000.0
2025-02-25 09:37:00,8.94,8.93,8.95,8.93,251300.0,2246355.0,2025,2,25,9,37,2025-02-25 09:37,251300.0
2025-02-25 09:38:00,8.94,8.95,8.95,8.93,421600.0,3772237.0,2025,2,25,9,38,2025-02-25 09:38,421600.0
2025-02-25 09:39:00,8.95,8.92,8.95,8.92,348200.0,3112171.0,2025,2,25,9,39,2025-02-25 09:39,348200.0
2025-02-25 09:40:00,8.92,8.92,8.93,8.92,130100.0,1161082.0,2025,2,25,9,40,2025-02-25 09:40,130100.0
2025-02-25 09:41:00,8.92,8.93,8.94,8.91,356400.0,3180445.0,2025,2,25,9,41,2025-02-25 09:41,356400.0
2025-02-25 09:42:00,8.93,8.94,8.95,8.93,107000.0,956648.0,2025,2,25,9,42,2025-02-25 09:42,107000.0
2025-02-25 09:43:00,8.94,8.93,8.94,8.92,205800.0,1837208.0,2025,2,25,9,43,2025-02-25 09:43,205800.0
2025-02-25 09:44:00,8.93,8.94,8.95,8.92,302600.0,2705683.0,2025,2,25,9,44,2025-02-25 09:44,302600.0
2025-02-25 09:45:00,8.95,8.94,8.95,8.94,118600.0,1061267.0,2025,2,25,9,45,2025-02-25 09:45,118600.0
2025-02-25 09:46:00,8.95,8.93,8.95,8.93,84600.0,756504.0,2025,2,25,9,46,2025-02-25 09:46,84600.0
2025-02-25 09:47:00,8.93,8.92,8.93,8.92,203900.0,1818474.0,2025,2,25,9,47,2025-02-25 09:47,203900.0
