datetime,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
2025-02-25 09:31:00,9.5,9.68,9.68,9.35,6514200.0,61831064.0,2025,2,25,9,31,2025-02-25 09:31,6514200.0
2025-02-25 09:32:00,9.7,9.63,9.7,9.51,1565300.0,15028741.0,2025,2,25,9,32,2025-02-25 09:32,1565300.0
2025-02-25 09:33:00,9.64,10.32,10.49,9.64,3007000.0,30342228.0,2025,2,25,9,33,2025-02-25 09:33,3007000.0
2025-02-25 09:34:00,10.32,10.39,10.58,10.18,8550800.0,88563968.0,2025,2,25,9,34,2025-02-25 09:34,8550800.0
2025-02-25 09:35:00,10.38,10.38,10.49,10.37,5436500.0,56717500.0,2025,2,25,9,35,2025-02-25 09:35,5436500.0
2025-02-25 09:36:00,10.48,10.48,10.69,10.42,4030300.0,42563208.0,2025,2,25,9,36,2025-02-25 09:36,4030300.0
2025-02-25 09:37:00,10.56,10.6,10.78,10.52,4375300.0,46519848.0,2025,2,25,9,37,2025-02-25 09:37,4375300.0
2025-02-25 09:38:00,10.58,10.65,10.7,10.42,3672900.0,38728892.0,2025,2,25,9,38,2025-02-25 09:38,3672900.0
2025-02-25 09:39:00,10.68,10.5,10.68,10.49,2740100.0,29005340.0,2025,2,25,9,39,2025-02-25 09:39,2740100.0
2025-02-25 09:40:00,10.5,10.43,10.51,10.43,1318000.0,13822090.0,2025,2,25,9,40,2025-02-25 09:40,1318000.0
2025-02-25 09:41:00,10.45,10.43,10.48,10.42,1185200.0,12384473.0,2025,2,25,9,41,2025-02-25 09:41,1185200.0
2025-02-25 09:42:00,10.42,10.49,10.5,10.31,1727600.0,17944426.0,2025,2,25,9,42,2025-02-25 09:42,1727600.0
2025-02-25 09:43:00,10.48,10.41,10.48,10.33,1147400.0,11945644.0,2025,2,25,9,43,2025-02-25 09:43,1147400.0
2025-02-25 09:44:00,10.41,10.39,10.41,10.36,1173200.0,12179777.0,2025,2,25,9,44,2025-02-25 09:44,1173200.0
2025-02-25 09:45:00,10.35,10.4,10.4,10.35,691700.0,7171349.0,2025,2,25,9,45,2025-02-25 09:45,691700.0
2025-02-25 09:46:00,10.39,10.38,10.4,10.37,1026800.0,10666595.0,2025,2,25,9,46,2025-02-25 09:46,1026800.0
2025-02-25 09:47:00,10.37,10.39,10.39,10.3,948300.0,9795427.0,2025,2,25,9,47,2025-02-25 09:47,948300.0
2025-02-25 09:48:00,10.38,10.48,10.52,10.38,1126000.0,11774360.0,2025,2,25,9,48,2025-02-25 09:48,1126000.0
2025-02-25 09:49:00,10.47,10.33,10.48,10.33,480300.0,4994495.0,2025,2,25,9,49,2025-02-25 09:49,480300.0
2025-02-25 09:50:00,10.32,10.4,10.43,10.32,450100.0,4670783.0,2025,2,25,9,50,2025-02-25 09:50,450100.0
2025-02-25 09:51:00,10.39,10.35,10.39,10.35,476000.0,4935935.0,2025,2,25,9,51,2025-02-25 09:51,476000.0
2025-02-25 09:52:00,10.35,10.35,10.35,10.32,498200.0,5148558.0,2025,2,25,9,52,2025-02-25 09:52,498200.0
2025-02-25 09:53:00,10.36,10.48,10.49,10.36,538100.0,5611456.0,2025,2,25,9,53,2025-02-25 09:53,538100.0
2025-02-25 09:54:00,10.48,10.41,10.48,10.38,389100.0,4057994.0,2025,2,25,9,54,2025-02-25 09:54,389100.0
2025-02-25 09:55:00,10.41,10.4,10.42,10.4,315500.0,3284839.0,2025,2,25,9,55,2025-02-25 09:55,315500.0
2025-02-25 09:56:00,10.4,10.37,10.4,10.36,274900.0,2852070.0,2025,2,25,9,56,2025-02-25 09:56,274900.0
2025-02-25 09:57:00,10.38,10.49,10.49,10.37,591100.0,6161468.0,2025,2,25,9,57,2025-02-25 09:57,591100.0
2025-02-25 09:58:00,10.5,10.43,10.5,10.43,618900.0,6488730.0,2025,2,25,9,58,2025-02-25 09:58,618900.0
2025-02-25 09:59:00,10.45,10.49,10.49,10.43,408600.0,4273254.0,2025,2,25,9,59,2025-02-25 09:59,408600.0
2025-02-25 10:00:00,10.49,10.72,10.74,10.49,3139600.0,33427604.0,2025,2,25,10,0,2025-02-25 10:00,3139600.0
2025-02-25 10:01:00,10.71,10.59,10.71,10.51,1094400.0,11646914.0,2025,2,25,10,1,2025-02-25 10:01,1094400.0
2025-02-25 10:02:00,10.63,11.0,11.0,10.62,15452800.0,168934896.0,2025,2,25,10,2,2025-02-25 10:02,15452800.0
2025-02-25 10:03:00,11.0,11.0,11.0,11.0,2437300.0,26811268.0,2025,2,25,10,3,2025-02-25 10:03,2437300.0
2025-02-25 10:04:00,11.0,11.0,11.0,11.0,680000.0,7480000.0,2025,2,25,10,4,2025-02-25 10:04,680000.0
2025-02-25 10:05:00,11.0,11.0,11.0,11.0,529200.0,5820826.0,2025,2,25,10,5,2025-02-25 10:05,529200.0
2025-02-25 10:06:00,11.0,11.0,11.0,11.0,415700.0,4572700.0,2025,2,25,10,6,2025-02-25 10:06,415700.0
2025-02-25 10:07:00,11.0,11.0,11.0,11.0,209600.0,2305600.0,2025,2,25,10,7,2025-02-25 10:07,209600.0
2025-02-25 10:08:00,11.0,11.0,11.0,11.0,302500.0,3327500.0,2025,2,25,10,8,2025-02-25 10:08,302500.0
2025-02-25 10:09:00,11.0,11.0,11.0,11.0,220700.0,2427700.0,2025,2,25,10,9,2025-02-25 10:09,220700.0
2025-02-25 10:10:00,11.0,11.0,11.0,11.0,158100.0,1739485.0,2025,2,25,10,10,2025-02-25 10:10,158100.0
2025-02-25 10:11:00,11.0,11.0,11.0,11.0,142000.0,1562000.0,2025,2,25,10,11,2025-02-25 10:11,142000.0
2025-02-25 10:12:00,11.0,11.0,11.0,11.0,114700.0,1261700.0,2025,2,25,10,12,2025-02-25 10:12,114700.0
