datetime,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
2025-02-25 09:31:00,33.11,33.95,34.0,33.02,289400.0,9668999.0,2025,2,25,9,31,2025-02-25 09:31,289400.0
2025-02-25 09:32:00,34.0,33.5,34.0,33.4,151600.0,5105107.0,2025,2,25,9,32,2025-02-25 09:32,151600.0
2025-02-25 09:33:00,33.6,34.41,34.5,33.6,118500.0,4042906.0,2025,2,25,9,33,2025-02-25 09:33,118500.0
2025-02-25 09:34:00,34.55,34.39,34.6,34.36,119900.0,4135815.0,2025,2,25,9,34,2025-02-25 09:34,119900.0
2025-02-25 09:35:00,34.39,34.61,34.61,34.24,116800.0,4011791.0,2025,2,25,9,35,2025-02-25 09:35,116800.0
2025-02-25 09:36:00,34.63,34.2,34.66,34.2,117000.0,4028375.0,2025,2,25,9,36,2025-02-25 09:36,117000.0
2025-02-25 09:37:00,34.22,34.24,34.27,34.0,124000.0,4229107.0,2025,2,25,9,37,2025-02-25 09:37,124000.0
2025-02-25 09:38:00,34.24,34.19,34.35,34.1,73600.0,2514276.0,2025,2,25,9,38,2025-02-25 09:38,73600.0
2025-02-25 09:39:00,34.06,34.02,34.1,34.02,108400.0,3689797.0,2025,2,25,9,39,2025-02-25 09:39,108400.0
2025-02-25 09:40:00,34.02,34.01,34.06,33.89,58200.0,1978489.0,2025,2,25,9,40,2025-02-25 09:40,58200.0
2025-02-25 09:41:00,33.97,33.69,34.03,33.69,72800.0,2469174.0,2025,2,25,9,41,2025-02-25 09:41,72800.0
2025-02-25 09:42:00,33.7,33.9,33.9,33.69,39100.0,1324312.0,2025,2,25,9,42,2025-02-25 09:42,39100.0
2025-02-25 09:43:00,34.02,34.37,34.38,34.02,21800.0,743435.0,2025,2,25,9,43,2025-02-25 09:43,21800.0
2025-02-25 09:44:00,34.38,34.39,34.39,34.32,121500.0,4177525.0,2025,2,25,9,44,2025-02-25 09:44,121500.0
2025-02-25 09:45:00,34.39,34.35,34.39,34.28,52700.0,1809399.0,2025,2,25,9,45,2025-02-25 09:45,52700.0
2025-02-25 09:46:00,34.36,34.39,34.4,34.35,67600.0,2322550.0,2025,2,25,9,46,2025-02-25 09:46,67600.0
2025-02-25 09:47:00,34.4,34.38,34.45,34.24,49100.0,1689838.0,2025,2,25,9,47,2025-02-25 09:47,49100.0
2025-02-25 09:48:00,34.38,34.44,34.46,34.38,34400.0,1182868.0,2025,2,25,9,48,2025-02-25 09:48,34400.0
2025-02-25 09:49:00,34.44,34.44,34.44,34.4,26100.0,897406.0,2025,2,25,9,49,2025-02-25 09:49,26100.0
2025-02-25 09:50:00,34.44,34.45,34.45,34.4,12800.0,442203.0,2025,2,25,9,50,2025-02-25 09:50,12800.0
2025-02-25 09:51:00,34.45,34.22,34.46,34.22,35700.0,1226276.0,2025,2,25,9,51,2025-02-25 09:51,35700.0
2025-02-25 09:52:00,34.22,34.12,34.22,34.0,33100.0,1129782.0,2025,2,25,9,52,2025-02-25 09:52,33100.0
2025-02-25 09:53:00,34.18,34.17,34.18,34.1,70500.0,2405842.0,2025,2,25,9,53,2025-02-25 09:53,70500.0
2025-02-25 09:54:00,34.13,34.11,34.13,34.04,26800.0,914402.0,2025,2,25,9,54,2025-02-25 09:54,26800.0
2025-02-25 09:55:00,34.04,34.01,34.11,34.0,35600.0,1212312.0,2025,2,25,9,55,2025-02-25 09:55,35600.0
2025-02-25 09:56:00,34.07,34.1,34.12,34.07,55800.0,1900941.0,2025,2,25,9,56,2025-02-25 09:56,55800.0
2025-02-25 09:57:00,34.1,34.41,34.41,34.1,30600.0,1047309.0,2025,2,25,9,57,2025-02-25 09:57,30600.0
2025-02-25 09:58:00,34.43,34.54,34.54,34.43,29900.0,1030456.0,2025,2,25,9,58,2025-02-25 09:58,29900.0
2025-02-25 09:59:00,34.54,34.98,34.98,34.54,50700.0,1762249.0,2025,2,25,9,59,2025-02-25 09:59,50700.0
2025-02-25 10:00:00,34.99,35.7,35.8,34.99,235800.0,8348752.0,2025,2,25,10,0,2025-02-25 10:00,235800.0
2025-02-25 10:01:00,35.71,35.6,35.84,35.6,301800.0,10775003.0,2025,2,25,10,1,2025-02-25 10:01,301800.0
2025-02-25 10:02:00,35.61,35.88,35.99,35.61,382300.0,13718719.0,2025,2,25,10,2,2025-02-25 10:02,382300.0
2025-02-25 10:03:00,35.99,36.0,36.11,35.88,261500.0,9414524.0,2025,2,25,10,3,2025-02-25 10:03,261500.0
2025-02-25 10:04:00,35.99,36.3,36.3,35.88,184700.0,6653365.0,2025,2,25,10,4,2025-02-25 10:04,184700.0
2025-02-25 10:05:00,36.39,36.7,36.8,36.39,306500.0,11207563.0,2025,2,25,10,5,2025-02-25 10:05,306500.0
2025-02-25 10:06:00,36.75,36.79,36.9,36.6,359500.0,13214500.0,2025,2,25,10,6,2025-02-25 10:06,359500.0
2025-02-25 10:07:00,36.75,36.73,36.75,36.5,217800.0,7984917.0,2025,2,25,10,7,2025-02-25 10:07,217800.0
2025-02-25 10:08:00,36.72,37.15,37.15,36.7,253700.0,9360708.0,2025,2,25,10,8,2025-02-25 10:08,253700.0
2025-02-25 10:09:00,37.05,36.98,37.12,36.98,259400.0,9612872.0,2025,2,25,10,9,2025-02-25 10:09,259400.0
2025-02-25 10:10:00,36.9,36.63,37.0,36.63,76000.0,2792734.0,2025,2,25,10,10,2025-02-25 10:10,76000.0
2025-02-25 10:11:00,36.63,37.0,37.0,36.63,186100.0,6852842.0,2025,2,25,10,11,2025-02-25 10:11,186100.0
2025-02-25 10:12:00,37.05,37.37,37.37,37.05,148300.0,5512334.0,2025,2,25,10,12,2025-02-25 10:12,148300.0
2025-02-25 10:13:00,37.38,38.0,38.01,37.38,370500.0,13974406.0,2025,2,25,10,13,2025-02-25 10:13,370500.0
2025-02-25 10:14:00,38.08,38.0,38.18,38.0,392700.0,14957820.0,2025,2,25,10,14,2025-02-25 10:14,392700.0
2025-02-25 10:15:00,38.04,38.7,38.84,38.02,400500.0,15359013.0,2025,2,25,10,15,2025-02-25 10:15,400500.0
2025-02-25 10:16:00,38.8,38.69,38.99,38.58,330300.0,12797008.0,2025,2,25,10,16,2025-02-25 10:16,330300.0
2025-02-25 10:17:00,38.67,38.31,38.72,38.31,183700.0,7103232.0,2025,2,25,10,17,2025-02-25 10:17,183700.0
2025-02-25 10:18:00,38.31,37.83,38.31,37.83,126100.0,4795144.0,2025,2,25,10,18,2025-02-25 10:18,126100.0
2025-02-25 10:19:00,37.77,37.6,37.8,37.51,109000.0,4098839.0,2025,2,25,10,19,2025-02-25 10:19,109000.0
2025-02-25 10:20:00,37.6,38.26,38.3,37.6,86900.0,3301664.0,2025,2,25,10,20,2025-02-25 10:20,86900.0
2025-02-25 10:21:00,38.26,37.82,38.3,37.82,94900.0,3623199.0,2025,2,25,10,21,2025-02-25 10:21,94900.0
2025-02-25 10:22:00,37.88,37.71,37.88,37.71,75000.0,2833001.0,2025,2,25,10,22,2025-02-25 10:22,75000.0
